id,category,label_zh,typical_member,typical_mechanism,typical_position,typical_depth,grade_hint,severity_weight,source
corrosion_expansion_cracking,crack,鏽蝕膨脹裂縫,column;beam;slab,na,distributed,cover,na,low,自我檢視因應手冊
overall_tilt,deformation,建築物整體傾斜,foundation_or_column_base,na,distributed,na,na,critical,明細表;教材;勘災作業準則
story_offset,deformation,樓層錯位/弱層,column,axial_compression,distributed,na,na,critical,教材;自我檢視因應手冊
member_local_tilt,deformation,構材局部傾斜,parapet;non_structural_element,non_structural_toppling,distributed,na,na,medium,明細表;教材
dislocation,deformation,錯位/移位,shear_wall;bearing_wall;staircase,shear,base;wall_center,through,IV_V,high,自行檢測簡易手冊;教材
slab_sagging,deformation,樓板下陷,slab,axial_compression,distributed,na,V,critical,判定準則;安全耐震我的家
beam_sagging,deformation,梁下垂,beam,flexural,beam_mid,na,V,critical,判定準則;教材
column_shortening,deformation,柱縮短,column,axial_compression,column_top;column_bottom,na,V,critical,判定準則;教材
differential_settlement,deformation,差異沉陷,foundation_or_column_base,na,distributed,na,na,high,教材;住宅地震保險
base_separation,joint_support,基礎與上部結構脫離錯開,foundation_or_column_base,na,base,na,na,critical,判定準則;明細表;教材
foundation_scour,joint_support,基礎淘空,foundation_or_column_base,na,base,na,na,critical,明細表;教材
beam_column_joint_failure,joint_support,梁柱接頭破壞,beam_column_joint,joint_failure,joint_region,core,IV_V,high,教材;勘災作業準則
bolt_loosened_or_sheared,joint_support,螺栓鬆動或剪斷,brace;non_structural_element,connection_failure,joint_region,na,na,high,明細表;教材
weld_cracking,joint_support,銲道開裂,brace;beam;column,connection_failure,joint_region,na,na,high,明細表;教材
steel_buckling,deformation,鋼構挫屈,brace;column;beam,buckling,mid_height;base,na,IV_V,high,明細表;教材
support_displacement,joint_support,屋頂樓版支承移位,foundation_or_column_base;beam,na,base,na,na,high,明細表;教材;勘災作業準則
member_detachment,joint_support,構材脫離/掉落,brace;non_structural_element,connection_failure,joint_region,na,na,high,明細表;教材
parapet_damage,non_structural,女兒牆損壞,parapet,non_structural_toppling,distributed,na,na,medium,明細表;教材
exterior_finish_spalling,non_structural,外牆裝修材剝落,non_structural_element;curtain_wall,non_structural_falling,distributed,surface_finish,na,medium,明細表;教材
curtain_wall_damage,non_structural,帷幕牆損壞,curtain_wall,non_structural_falling,distributed,na,na,medium,明細表;教材
ceiling_collapse,non_structural,天花板掉落,non_structural_element,non_structural_falling,distributed,na,na,medium,明細表;教材
pipe_detachment,non_structural,管線脫落,non_structural_element,non_structural_falling,distributed,na,na,medium,明細表;教材
sign_window_loosening,non_structural,招牌/鐵窗鬆動,non_structural_element,non_structural_falling,distributed,na,na,medium,明細表;教材
water_tank_tilt,non_structural,水塔傾斜,non_structural_element,non_structural_toppling,distributed,na,na,medium,明細表;教材
ac_unit_loosening,non_structural,窗型冷氣鬆動,non_structural_element,non_structural_falling,distributed,na,na,medium,明細表;教材
glass_breakage,non_structural,玻璃破裂,curtain_wall;non_structural_element,non_structural_falling,distributed,na,na,medium,明細表;教材
partition_collapse,non_structural,隔間牆倒塌,partition_wall,non_structural_toppling,distributed,na,na,medium,明細表;教材
cabinet_toppling,non_structural,高櫃傾倒,non_structural_element,non_structural_toppling,distributed,na,na,medium,明細表;教材
exterior_stair_tilt,non_structural,屋外樓梯傾斜,staircase;non_structural_element,non_structural_toppling,distributed,na,na,medium,明細表;教材
fence_collapse,non_structural,圍牆倒塌,non_structural_element,non_structural_toppling,distributed,na,na,medium,明細表;教材
utility_pole_tilt,non_structural,電線桿傾斜,non_structural_element,non_structural_toppling,distributed,na,na,medium,明細表;教材
